sno   var   func  total   actual  factor  avg    num           file
      node  node  reruns  reruns  graph   iters  soln          name
      size  size                  iters              
---   ---   ---   ---     ---     ---     ---    ---           ---
262   1     5     3       0       0       0      NA            6s280r_bdd.blif
263   1     5     4       0       0       0      NA            6s280r_bdd.blif
264   1     5     5       0       0       0      NA            6s280r_bdd.blif
265   1     5     10      0       0       0      NA            6s280r_bdd.blif
266   1     5     20      0       0       0      NA            6s280r_bdd.blif
267   1     10    1       0       0       0      NA            6s280r_bdd.blif
268   1     10    2       0       0       0      NA            6s280r_bdd.blif
269   1     10    3       0       0       0      NA            6s280r_bdd.blif
270   1     10    4       0       0       0      NA            6s280r_bdd.blif
271   1     10    5       0       0       0      NA            6s280r_bdd.blif
272   1     10    10      0       0       0      NA            6s280r_bdd.blif
273   1     10    20      0       0       0      NA            6s280r_bdd.blif
274   5     1     1       0       0       0      NA            6s280r_bdd.blif
275   5     1     2       0       0       0      NA            6s280r_bdd.blif
276   5     1     3       0       0       0      NA            6s280r_bdd.blif
277   5     1     4       0       0       0      NA            6s280r_bdd.blif
278   5     1     5       0       0       0      NA            6s280r_bdd.blif
279   5     1     10      0       0       0      NA            6s280r_bdd.blif
280   5     1     20      0       0       0      NA            6s280r_bdd.blif
281   5     5     1       0       0       0      NA            6s280r_bdd.blif
282   5     5     2       0       0       0      NA            6s280r_bdd.blif
283   5     5     3       0       0       0      NA            6s280r_bdd.blif
284   5     5     4       0       0       0      NA            6s280r_bdd.blif
285   5     5     5       0       0       0      NA            6s280r_bdd.blif
286   5     5     10      0       0       0      NA            6s280r_bdd.blif
287   5     5     20      0       0       0      NA            6s280r_bdd.blif
288   5     10    1       0       0       0      NA            6s280r_bdd.blif
289   5     10    2       0       0       0      NA            6s280r_bdd.blif
290   5     10    3       0       0       0      NA            6s280r_bdd.blif
291   5     10    4       0       0       0      NA            6s280r_bdd.blif
292   5     10    5       0       0       0      NA            6s280r_bdd.blif
293   5     10    10      0       0       0      NA            6s280r_bdd.blif
294   5     10    20      0       0       0      NA            6s280r_bdd.blif
295   10    1     1       0       0       0      NA            6s280r_bdd.blif
296   10    1     2       0       0       0      NA            6s280r_bdd.blif
297   10    1     3       0       0       0      NA            6s280r_bdd.blif
298   10    1     4       0       0       0      NA            6s280r_bdd.blif
299   10    1     5       0       0       0      NA            6s280r_bdd.blif
300   10    1     10      0       0       0      NA            6s280r_bdd.blif
301   10    1     20      0       0       0      NA            6s280r_bdd.blif
302   10    5     1       0       0       0      NA            6s280r_bdd.blif
303   10    5     2       0       0       0      NA            6s280r_bdd.blif
304   10    5     3       0       0       0      NA            6s280r_bdd.blif
305   10    5     4       0       0       0      NA            6s280r_bdd.blif
306   10    5     5       0       0       0      NA            6s280r_bdd.blif
307   10    5     10      0       0       0      NA            6s280r_bdd.blif
308   10    5     20      0       0       0      NA            6s280r_bdd.blif
309   10    10    1       0       0       0      NA            6s280r_bdd.blif
310   10    10    2       0       0       0      NA            6s280r_bdd.blif
311   10    10    3       0       0       0      NA            6s280r_bdd.blif
312   10    10    4       0       0       0      NA            6s280r_bdd.blif
313   10    10    5       0       0       0      NA            6s280r_bdd.blif
314   10    10    10      0       0       0      NA            6s280r_bdd.blif
315   10    10    20      0       0       0      NA            6s280r_bdd.blif
316   20    1     1       0       0       0      NA            6s280r_bdd.blif
317   20    1     2       0       0       0      NA            6s280r_bdd.blif
318   20    1     3       0       0       0      NA            6s280r_bdd.blif
319   20    1     4       0       0       0      NA            6s280r_bdd.blif
320   20    1     5       0       0       0      NA            6s280r_bdd.blif
321   20    1     10      0       0       0      NA            6s280r_bdd.blif
322   20    1     20      0       0       0      NA            6s280r_bdd.blif
323   20    5     1       0       0       0      NA            6s280r_bdd.blif
324   20    5     2       0       0       0      NA            6s280r_bdd.blif
325   20    5     3       0       0       0      NA            6s280r_bdd.blif
326   20    5     4       0       0       0      NA            6s280r_bdd.blif
327   20    5     5       0       0       0      NA            6s280r_bdd.blif
328   20    5     10      0       0       0      NA            6s280r_bdd.blif
329   20    5     20      0       0       0      NA            6s280r_bdd.blif
330   20    10    1       0       0       0      NA            6s280r_bdd.blif
331   20    10    2       0       0       0      NA            6s280r_bdd.blif
332   20    10    3       0       0       0      NA            6s280r_bdd.blif
333   20    10    4       0       0       0      NA            6s280r_bdd.blif
334   20    10    5       0       0       0      NA            6s280r_bdd.blif
335   20    10    10      0       0       0      NA            6s280r_bdd.blif
336   20    10    20      0       0       0      NA            6s280r_bdd.blif
337   30    1     1       0       0       0      NA            6s280r_bdd.blif
338   30    1     2       0       0       0      NA            6s280r_bdd.blif
