Name                                                                  | Status                                              | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time         | PreProc Status                | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence                  | MUS Status                     | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2017_query44_query42_1344n                                     | FG timed out                                        | 10043 / 0 / 6092    | 9863 / 0 / 6092     | 53216 / 0 / 5868     | 15.39 / 2.7 / 8.49     | PreProc-ed 2 rounds           |                   |                    |                  |                                 |                                |                                                         | 1500.0     
Disjunctive_Decomposition_pdtpmsrotate32_all_bit_differing_from_cycle | Preproc Solved, FG skipped.                         | 591 / 0 / 591       | 461 / 0 / 461       | 1893 / 0 / 1892      | 0.15 / 0.0 / 0.1       | PreProc-ed 1 rounds           |                   |                    |                  |                                 |                                |                                                         |            
QBFEval2017_query33_query51_1344n                                     | MUS timed out                                       | 907 / 0 / 633       | 841 / 0 / 633       | 1995 / 0 / 609       | 1.29 / 0.55 / 0.44     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 4.69 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
Disjunctive_Decomposition_eijkbs1512_all_bit_differing_from_cycle     | MUS timed out                                       | 706 / 0 / 237       | 548 / 0 / 237       | 2274 / 0 / 361       | 1.79 / 1.0 / 0.46      | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 0.84 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_driver_a9n.sat                                            | MUS timed out                                       | 6980 / 0 / 5310     | 6557 / 0 / 5310     | 19385 / 0 / 11811    | 4.73 / 2.12 / 1.44     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 1014.84 sec, ONE       | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_sortnetsort7.AE.stepl.008                                 | MUS timed out                                       | 3591 / 0 / 1103     | 2943 / 0 / 1103     | 6030 / 0 / 1318      | 2.19 / 1.38 / 0.45     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 153.29 sec, ONE        | MUS TimedOut after 1 rounds    | 627.29 / 5.08 / 6030 / 0                                | 1500.0     
QBFEval2018_ctrl.e#1.a#3.E#128.A#48.c#.w#9.s#1.asp                    | MUS timed out                                       | 9391 / 0 / 7335     | 9263 / 0 / 7335     | 27646 / 0 / 15386    | 4.33 / 1.52 / 1.51     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 290.88 sec, ONE        | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_Q_2-3_v-80-100_r-13.3                                     | MUS timed out                                       | 180 / 0 / 0         | 100 / 0 / 0         | 1300 / 0 / 0         | 0.39 / 0.27 / 0.07     | PreProc-ed 1 rounds           |                   |                    |                  | 0 iters, 18.55 sec, ONE         | MUS TimedOut after 1 rounds    | 156.21 / 0.17 / 1300 / 0                                | 1500.0     
QBFEval2017_small-dyn-partition-fixpoint-7                            | MUS timed out                                       | 779 / 0 / 659       | 715 / 0 / 659       | 2229 / 0 / 1765      | 1.15 / 0.37 / 0.52     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 0.08 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_query36_query42_1344n                                     | MUS timed out                                       | 1182 / 0 / 802      | 1108 / 0 / 802      | 2703 / 0 / 793       | 1.8 / 0.79 / 0.68      | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 55.45 sec, ONE         | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_rankfunc54_unsigned_64                                    | Preproc Solved, FG skipped.                         | 5266 / 0 / 5266     | 4754 / 0 / 4754     | 13886 / 0 / 13885    | 0.84 / 0.0 / 0.77      | PreProc-ed 1 rounds           |                   |                    |                  |                                 |                                |                                                         |            
QBFEval2017_stmt22_6_414                                              | MUS timed out                                       | 3364 / 4 / 1864     | 3084 / 4 / 1816     | 11422 / 16 / 4328    | 4.36 / 1.63 / 1.56     | PreProc-ed 2 rounds           |                   |                    |                  | 0 iters, 12.6 sec, ONE          | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
