TestCase                                                                      | Status     | TimeTaken          
QBFEval2018_ci.e#1.a#3.E#40.A#60.c#288.w#6.s#2.asp.qdimacs                    | Failed     | 0.15558600425720215
QBFEval2017_small-dyn-partition-fixpoint-6.qdimacs                            | Successful | 23.4428653717041   
QBFEval2017_query51_query42_1344n.qdimacs                                     | Timed out  | 1811.4793560504913 
QBFEval2017_stmt19_65_95.qdimacs                                              | Timed out  | 1811.7624006271362 
QBFEval2017_stmt19_83_91.qdimacs                                              | Timed out  | 1813.086315870285  
Arithmetic_intermediate32.qdimacs                                             | Timed out  | 1813.1112868785858 
QBFEval2017_stmt21_354_403.qdimacs                                            | Timed out  | 1812.4812281131744 
Arithmetic_intermediate128.qdimacs                                            | Failed     | 90.25795865058899  
QBFEval2017_stmt22_6_414.qdimacs                                              | Successful | 183.6152777671814  
QBFEval2017_rankfunc48_unsigned_64.qdimacs                                    | Timed out  | 1811.517686843872  
QBFEval2018_query42_query42_1344n.qdimacs                                     | Timed out  | 1811.8841276168823 
QBFEval2018_query51_query57_1344n.qdimacs                                     | Timed out  | 1811.4824562072754 
QBFEval2017_genbuf14b4y.sat.qdimacs                                           | Timed out  | 1811.438386440277  
QBFEval2018_sdlx-fixpoint-6.qdimacs                                           | Timed out  | 1811.7840731143951 
QBFEval2017_small-dyn-partition-fixpoint-2.qdimacs                            | Successful | 8.254044532775879  
QBFEval2017_trivial_query42_1344n.qdimacs                                     | Timed out  | 1811.6948170661926 
QBFEval2017_rankfunc55_unsigned_64.qdimacs                                    | Timed out  | 1811.0600883960724 
QBFEval2017_query08_query42_1344n.qdimacs                                     | Timed out  | 1816.1108710765839 
QBFEval2017_AR-fixpoint-8.qdimacs                                             | Timed out  | 1814.4781572818756 
QBFEval2017_small-swap2-fixpoint-7.qdimacs                                    | Successful | 406.1521143913269  
QBFEval2018_rankfunc56_signed_64.qdimacs                                      | Timed out  | 1811.171882390976  
QBFEval2017_query57_query42_1344n.qdimacs                                     | Timed out  | 1811.102380990982  
QBFEval2018_amba3b5y.sat.qdimacs                                              | Timed out  | 1811.9932408332825 
QBFEval2017_small-swap1-fixpoint-8.qdimacs                                    | Timed out  | 1811.4516832828522 
QBFEval2017_add20y.sat.qdimacs                                                | Timed out  | 1811.1445178985596 
QBFEval2017_small-bug1-fixpoint-3.qdimacs                                     | Successful | 5.5452721118927    
Arithmetic_min64.qdimacs                                                      | Timed out  | 1811.1973271369934 
Disjunctive_Decomposition_bobsm9234_all_bit_differing_from_cycle.qdimacs      | Timed out  | 1811.1235897541046 
QBFEval2018_stmt21_319_418.qdimacs                                            | Timed out  | 1811.4502019882202 
QBFEval2017_rankfunc52_unsigned_64.qdimacs                                    | Timed out  | 1814.8208498954773 
QBFEval2018_stmt31_276_328.qdimacs                                            | Timed out  | 1813.6085472106934 
QBFEval2018_nxquery_query50_1344n.qdimacs                                     | Timed out  | 1814.0753445625305 
QBFEval2018_small-seq-fixpoint-10.qdimacs                                     | Failed     | 1435.5685691833496 
QBFEval2017_AR-fixpoint-4.qdimacs                                             | Timed out  | 1812.2520492076874 
QBFEval2018_NotificationServiceImpl2.qdimacs                                  | Timed out  | 1811.9273483753204 
QBFEval2017_query60_query42_1344n.qdimacs                                     | Timed out  | 1811.248766899109  
QBFEval2017_query54_query58_1344n.qdimacs                                     | Timed out  | 1815.3156123161316 
QBFEval2018_sortnetsort9.AE.stepl.012.qdimacs                                 | Timed out  | 1811.086174249649  
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#9.s#1.asp.qdimacs                    | Failed     | 0.06469559669494629
Disjunctive_Decomposition_bobtuint06_all_bit_differing_from_cycle.qdimacs     | Successful | 158.10443019866943 
QBFEval2017_query31_query50_1344n.qdimacs                                     | Timed out  | 1811.122719526291  
QBFEval2017_small-swap1-fixpoint-4.qdimacs                                    | Timed out  | 1812.8285632133484 
QBFEval2017_stmt47_340_389.qdimacs                                            | Timed out  | 1811.6509704589844 
QBFEval2017_rankfunc38_signed_64.qdimacs                                      | Successful | 41.0401828289032   
QBFEval2018_sortnetsort7.AE.stepl.009.qdimacs                                 | Timed out  | 1811.2634010314941 
QBFEval2018_AR-fixpoint-6.qdimacs                                             | Timed out  | 1812.105319261551  
QBFEval2018_sortnetsort10.AE.stepl.011.qdimacs                                | Timed out  | 1811.3632860183716 
QBFEval2018_query48_query42_1344n.qdimacs                                     | Timed out  | 1812.0114736557007 
QBFEval2018_query71_query31_1344n.qdimacs                                     | Timed out  | 1811.2503588199615 
QBFEval2017_query04_query42_1344n.qdimacs                                     | Timed out  | 1811.6047909259796 
QBFEval2018_sortnetsort8.AE.stepl.006.qdimacs                                 | Timed out  | 1811.4845106601715 
Disjunctive_Decomposition_bobsynthetic2_all_bit_differing_from_cycle.qdimacs  | Timed out  | 1812.0514824390411 
QBFEval2018_AR-fixpoint-2.qdimacs                                             | Timed out  | 1811.635590314865  
QBFEval2018_query33_query57_1344n.qdimacs                                     | Timed out  | 1812.2164103984833 
QBFEval2017_small-pipeline-fixpoint-3.qdimacs                                 | Timed out  | 1811.797660112381  
QBFEval2018_beemskbn1f1_c0to7.sat.qdimacs                                     | Timed out  | 1818.6488854885101 
QBFEval2018_sortnetsort7.AE.stepl.005.qdimacs                                 | Timed out  | 1827.4035682678223 
QBFEval2018_rankfunc61_unsigned_64.qdimacs                                    | Timed out  | 1812.6943056583405 
QBFEval2017_usb-phy-fixpoint-5.qdimacs                                        | Timed out  | 1812.519790172577  
QBFEval2017_query33_query42_1344n.qdimacs                                     | Timed out  | 1811.5114440917969 
QBFEval2017_sortnetsort10.AE.stepl.007.qdimacs                                | Timed out  | 1811.9733889102936 
QBFEval2017_sortnetsort9.AE.stepl.007.qdimacs                                 | Timed out  | 1811.2485854625702 
QBFEval2017_usb-phy-fixpoint-1.qdimacs                                        | Successful | 108.70189142227173 
QBFEval2017_stmt28_73_85.qdimacs                                              | Timed out  | 1812.2350118160248 
QBFEval2018_neclaftp2002.qdimacs                                              | Failed     | 802.6286692619324  
QBFEval2018_stmt31_190_227.qdimacs                                            | Timed out  | 1814.4848084449768 
QBFEval2018_genbuf9b4n.sat.qdimacs                                            | Timed out  | 1813.1101069450378 
Factorization_factorization10.qdimacs                                         | Successful | 70.98106408119202  
QBFEval2017_rankfunc41_unsigned_64.qdimacs                                    | Timed out  | 1811.7400634288788 
QBFEval2017_stmt46_111_238.qdimacs                                            | Timed out  | 1811.192363500595  
Arithmetic_intermediate512.qdimacs                                            | Timed out  | 1811.425903558731  
QBFEval2018_query26_query42_1344n.qdimacs                                     | Timed out  | 1811.024823665619  
QBFEval2018_query44_query26_1344n.qdimacs                                     | Timed out  | 1811.1496365070343 
QBFEval2017_genbuf8b4n.sat.qdimacs                                            | Timed out  | 1811.3980131149292 
Disjunctive_Decomposition_bobtuint15neg_all_bit_differing_from_cycle.qdimacs  | Successful | 153.6471507549286  
QBFEval2017_PhaseService.qdimacs                                              | Timed out  | 1811.307817697525  
QBFEval2018_stmt17_78_90.qdimacs                                              | Timed out  | 1811.807988166809  
QBFEval2018_rankfunc35_signed_64.qdimacs                                      | Timed out  | 1814.327841758728  
QBFEval2017_cycle_sched_12_2_1.sat.qdimacs                                    | Timed out  | 1813.1833550930023 
QBFEval2018_pi-bus-fixpoint-1.qdimacs                                         | Timed out  | 1814.472135066986  
QBFEval2018_stmt17_78_94.qdimacs                                              | Timed out  | 1824.31045460701   
QBFEval2017_ethernet-fixpoint-4.qdimacs                                       | Timed out  | 1814.5286598205566 
Arithmetic_max64.qdimacs                                                      | Successful | 14.956392765045166 
Factorization_factorization14.qdimacs                                         | Timed out  | 1811.3241324424744 
QBFEval2017_intermediate256.qdimacs                                           | Timed out  | 1811.4405345916748 
QBFEval2018_query11_query42_1344n.qdimacs                                     | Timed out  | 1811.637208223343  
Disjunctive_Decomposition_bobsmhdlc3_all_bit_differing_from_cycle.qdimacs     | Timed out  | 1811.0112833976746 
Arithmetic_min256.qdimacs                                                     | Timed out  | 1811.1535897254944 
QBFEval2017_small-equiv-fixpoint-1.qdimacs                                    | Timed out  | 1811.828003168106  
QBFEval2017_small-synabs-fixpoint-10.qdimacs                                  | Successful | 245.48046016693115 
QBFEval2017_ctrl.e#1.a#3.E#128.A#48.c#.w#7.s#1.asp.qdimacs                    | Failed     | 0.10025429725646973
QBFEval2017_stmt28_68_73.qdimacs                                              | Timed out  | 1811.4039175510406 
QBFEval2017_small-equiv-fixpoint-5.qdimacs                                    | Timed out  | 1812.2243783473969 
QBFEval2017_query02_query42_1344n.qdimacs                                     | Timed out  | 1811.3193430900574 
Disjunctive_Decomposition_bobtuint29neg_all_bit_differing_from_cycle.qdimacs  | Successful | 157.4013111591339  
QBFEval2018_stmt17_78_98.qdimacs                                              | Timed out  | 1812.9508790969849 
QBFEval2018_sdlx-fixpoint-3.qdimacs                                           | Timed out  | 1811.6275091171265 
QBFEval2017_small-dyn-partition-fixpoint-7.qdimacs                            | Successful | 29.991464614868164 
QBFEval2018_ci.e#1.a#3.E#40.A#60.c#408.w#2.s#2.asp.qdimacs                    | Failed     | 0.09694266319274902
QBFEval2018_oski3ub5i_c0to63.sat.qdimacs                                      | Timed out  | 1812.2627816200256 
QBFEval2018_stmt17_74_78.qdimacs                                              | Timed out  | 1811.9336140155792 
QBFEval2018_query42_query45_1344n.qdimacs                                     | Timed out  | 1811.6533391475677 
Arithmetic_ceiling64.qdimacs                                                  | Successful | 82.34116768836975  
Arithmetic_decomposition512.qdimacs                                           | Timed out  | 1811.0945026874542 
Disjunctive_Decomposition_bobsynth07neg_all_bit_differing_from_cycle.qdimacs  | Timed out  | 1812.1718590259552 
QBFEval2017_stmt21_181_218.qdimacs                                            | Timed out  | 1811.2497997283936 
QBFEval2017_driver_a10y.sat.qdimacs                                           | Timed out  | 1811.2926378250122 
QBFEval2017_eequery_query42_1344n.qdimacs                                     | Timed out  | 1811.3372411727905 
QBFEval2018_stmt17_62_78.qdimacs                                              | Timed out  | 1812.8816714286804 
QBFEval2017_small-dyn-partition-fixpoint-3.qdimacs                            | Successful | 12.50728178024292  
QBFEval2018_sdlx-fixpoint-7.qdimacs                                           | Timed out  | 1812.4721364974976 
Disjunctive_Decomposition_bobtuint10neg_all_bit_differing_from_cycle.qdimacs  | Successful | 154.8174443244934  
Disjunctive_Decomposition_pdtpmsgigamax_all_bit_differing_from_cycle.qdimacs  | Timed out  | 1811.0979747772217 
QBFEval2018_neclaftp4001.qdimacs                                              | Failed     | 192.48663020133972 
QBFEval2017_stmt19_180_352.qdimacs                                            | Successful | 334.7089366912842  
Arithmetic_max512.qdimacs                                                     | Timed out  | 1811.2822153568268 
