Total number of cases: 906
Finished cases       : 906
Timed out cases      : 774
 |                                                             Case name | Pass/Fail | Preparation Time | Solve time | 
 |     Disjunctive_Decomposition_pdtpmsmiim_all_bit_differing_from_cycle |    FAILED |              1.0 |     1200.0 | 
 |      Disjunctive_Decomposition_pdtpmsns3_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 | Disjunctive_Decomposition_pdtpmsrotate32_all_bit_differing_from_cycle |      PASS |              0.0 |      517.0 | 
 | Disjunctive_Decomposition_pdtpmssfeistel_all_bit_differing_from_cycle |    FAILED |              0.0 |     1200.0 | 
 |                                         Factorization_factorization10 |      PASS |              0.0 |        7.0 | 
 |                                         Factorization_factorization12 |      PASS |              0.0 |      136.0 | 
 |                                         Factorization_factorization14 |    FAILED |              0.0 |     1200.0 | 
 |                                         Factorization_factorization16 |    FAILED |              0.0 |     1200.0 | 
 |                                          Factorization_factorization8 |      PASS |              0.0 |        1.0 | 
 |                                   QBFEval2017_6s289rb05233_c0to63.sat |    FAILED |              2.0 |     1200.0 | 
 |                                           QBFEval2017_ActivityService |    FAILED |              0.0 |     1200.0 | 
 |                                                QBFEval2017_add20y.sat |    FAILED |              0.0 |     1200.0 | 
 |                                              QBFEval2017_amba2c7n.sat |    FAILED |              0.0 |     1200.0 | 
 |                                              QBFEval2017_amba3b5y.sat |    FAILED |              1.0 |     1200.0 | 
 |                                              QBFEval2017_amba4c7n.sat |    FAILED |              0.0 |     1200.0 | 
 |                                              QBFEval2017_amba5b5n.sat |    FAILED |              1.0 |     1200.0 | 
 |                                            QBFEval2017_AR-fixpoint-10 |    FAILED |              8.0 |     1200.0 | 
 |                                             QBFEval2017_AR-fixpoint-2 |    FAILED |              2.0 |     1200.0 | 
 |                                             QBFEval2017_AR-fixpoint-4 |    FAILED |              2.0 |     1201.0 | 
 |                                             QBFEval2017_AR-fixpoint-6 |    FAILED |              4.0 |     1200.0 | 
