Name                                                                  | Status                                             | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time          | PreProc Status                  | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence | MUS Status | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2017_sortnetsort10.AE.stepl.009                                | Preproc finished unsolved, FG skipped, MUS skipped | 9201 / 0 / 2485     | 7500 / 0 / 2485     | 15374 / 0 / 2835     | 2.38 / 0.0 / 1.9        | PreProc-ed 2 rounds             |                   |                    |                  |                |            |                                                         | 0.17       
Arithmetic_decomposition128                                           | Preproc Solved, FG skipped.                        | 1145 / 0 / 1145     | 1017 / 0 / 1017     | 3154 / 0 / 3153      | 0.24 / 0.0 / 0.2        | PreProc-ed 2 rounds             |                   |                    |                  |                |            |                                                         |            
QBFEval2018_intermediate128                                           | Preproc finished unsolved, FG skipped, MUS skipped | 1278 / 0 / 511      | 1022 / 0 / 511      | 3700 / 0 / 401       | 1.41 / 0.0 / 1.11       | PreProc-ed 3 rounds             |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2017_sortnetsort10.AE.stepl.006                                | Preproc finished unsolved, FG skipped, MUS skipped | 6141 / 0 / 1660     | 5007 / 0 / 1660     | 10256 / 0 / 1893     | 1.71 / 0.0 / 1.38       | PreProc-ed 2 rounds             |                   |                    |                  |                |            |                                                         | 0.12       
QBFEval2017_stmt53_208_245                                            | Preproc finished unsolved, FG skipped, MUS skipped | 2900 / 0 / 2050     | 2715 / 0 / 2025     | 9420 / 0 / 5769      | 1.57 / 0.0 / 1.21       | PreProc-ed 3 rounds             |                   |                    |                  |                |            |                                                         | 0.13       
QBFEval2017_stmt17_70_86                                              | Preproc finished unsolved, FG skipped, MUS skipped | 9394 / 0 / 7276     | 8944 / 0 / 7144     | 36512 / 0 / 24491    | 13.37 / 0.0 / 9.36      | PreProc-ed 7 rounds             |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2017_query07_query42_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 3221 / 0 / 1838     | 3103 / 0 / 1838     | 10952 / 0 / 1782     | 2.39 / 0.0 / 1.9        | PreProc-ed 2 rounds             |                   |                    |                  |                |            |                                                         | 0.22       
QBFEval2017_query02_query44_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 730 / 0 / 399       | 656 / 0 / 399       | 1987 / 0 / 391       | 0.62 / 0.0 / 0.51       | PreProc-ed 2 rounds             |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2017_small-bug1-fixpoint-5                                     | Preproc Solved, FG skipped.                        | 86 / 0 / 86         | 69 / 0 / 69         | 204 / 0 / 203        | 0.05 / 0.0 / 0.05       | PreProc-ed 1 rounds             |                   |                    |                  |                |            |                                                         |            
QBFEval2017_query49_query42_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 9935 / 0 / 6039     | 9755 / 0 / 6039     | 53006 / 0 / 5816     | 11.1 / 0.0 / 8.11       | PreProc-ed 7 rounds             |                   |                    |                  |                |            |                                                         | 0.16       
QBFEval2018_stmt23_92_96                                              | Preproc finished unsolved, FG skipped, MUS skipped | 12439 / 0 / 9472    | 11931 / 0 / 9316    | 48881 / 0 / 32076    | 18.05 / 0.0 / 12.63     | PreProc-ed 7 rounds             |                   |                    |                  |                |            |                                                         | 0.17       
Disjunctive_Decomposition_eijkbs4863_all_bit_differing_from_cycle     | Preproc finished unsolved, FG skipped, MUS skipped | 1793 / 0 / 516      | 1537 / 0 / 516      | 6452 / 0 / 503       | 1.95 / 0.0 / 1.44       | PreProc-ed 3 rounds             |                   |                    |                  |                |            |                                                         | 0.12       
QBFEval2017_rankfunc55_signed_64                                      | Preproc finished unsolved, FG skipped, MUS skipped | 2315 / 0 / 1429     | 2059 / 0 / 1429     | 6215 / 0 / 3491      | 0.81 / 0.0 / 0.67       | PreProc-ed 2 rounds             |                   |                    |                  |                |            |                                                         | 0.12       
QBFEval2017_stmt19_79_87                                              | Preproc finished unsolved, FG skipped, MUS skipped | 10264 / 0 / 7948    | 9814 / 0 / 7816     | 40046 / 0 / 26932    | 13.92 / 0.0 / 9.83      | PreProc-ed 7 rounds             |                   |                    |                  |                |            |                                                         | 0.22       
Disjunctive_Decomposition_neclaftp4002_all_bit_differing_from_cycle   | Preproc finished unsolved, FG skipped, MUS skipped | 3876 / 0 / 1052     | 2782 / 0 / 1052     | 12922 / 0 / 1484     | 3.77 / 0.0 / 2.81       | PreProc-ed 3 rounds             |                   |                    |                  |                |            |                                                         | 0.12       
QBFEval2017_rankfunc38_unsigned_64                                    | Preproc Solved, FG skipped.                        | 645 / 0 / 645       | 517 / 0 / 517       | 1605 / 0 / 1604      | 2.11 / 0.0 / 1.62       | PreProc-ed 16 rounds            |                   |                    |                  |                |            |                                                         |            
QBFEval2018_stmt28_73_85                                              | Preproc finished unsolved, FG skipped, MUS skipped | 9829 / 0 / 7592     | 9379 / 0 / 7460     | 38279 / 0 / 25548    | 13.15 / 0.0 / 9.38      | PreProc-ed 7 rounds             |                   |                    |                  |                |            |                                                         | 0.17       
QBFEval2018_amba2f9n.sat                                              | Preproc finished unsolved, FG skipped, MUS skipped | 1567 / 0 / 724      | 1528 / 0 / 724      | 8381 / 0 / 1819      | 1.64 / 0.0 / 1.16       | PreProc-ed 3 rounds             |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2018_query01_query42_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 738 / 0 / 403       | 664 / 0 / 403       | 1995 / 0 / 395       | 0.78 / 0.0 / 0.61       | PreProc-ed 2 rounds             |                   |                    |                  |                |            |                                                         | 0.07       
QBFEval2018_itc-b13-fixpoint-2                                        | Preproc finished unsolved, FG skipped, MUS skipped | 2158 / 0 / 1908     | 2000 / 0 / 1897     | 6104 / 0 / 5490      | 0.93 / 0.0 / 0.72       | PreProc-ed 4 rounds             |                   |                    |                  |                |            |                                                         | 0.06       
Disjunctive_Decomposition_bobsynth01neg_all_bit_differing_from_cycle  | Preproc finished unsolved, FG skipped, MUS skipped | 7656 / 0 / 1611     | 4747 / 0 / 1611     | 22940 / 0 / 2539     | 7.02 / 0.0 / 5.29       | PreProc-ed 3 rounds             |                   |                    |                  |                |            |                                                         | 0.42       
