Name                                                                  | Status                                              | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time         | PreProc Status                | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence | MUS Status                     | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2018_Q_2-3_v-80-100_r-13.8                                     | MUS timed out                                       | 180 / 0 / 0         | 100 / 0 / 0         | 1300 / 0 / 0         | 0.38 / 0.27 / 0.07     | PreProc-ed 1 rounds           |                   |                    |                  |                | MUS TimedOut after 1 rounds    | 499.94 / 0.3 / 1300 / 0                                 | 1500.0     
QBFEval2017_query06_query42_1344n                                     | MUS timed out                                       | 3381 / 0 / 1956     | 3263 / 0 / 1956     | 11250 / 0 / 1908     | 5.89 / 1.56 / 2.4      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 1 rounds    | 783.25 / 1.23 / 11250 / 0                               | 1500.0     
QBFEval2017_ctrl.e#1.a#3.E#124.A#48.c#.w#7.s#50.asp                   | MUS timed out                                       | 7115 / 0 / 5398     | 6991 / 0 / 5398     | 20830 / 0 / 10985    | 3.22 / 1.13 / 1.16     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_query31_eequery_1344n                                     | Preproc finished unsolved, FG skipped, MUS finished | 891 / 0 / 628       | 825 / 0 / 628       | 1973 / 0 / 598       | 1.29 / 0.55 / 0.44     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS Finished after 0 rounds    |                                                         | 31.15      
QBFEval2017_rankfunc2_unsigned_64                                     | MUS timed out                                       | 2570 / 0 / 1622     | 2314 / 0 / 1622     | 6905 / 0 / 3986      | 1.48 / 0.72 / 0.5      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_load_2c_comp_comp7_REAL.sat                               | MUS timed out                                       | 12305 / 0 / 8959    | 11851 / 0 / 8959    | 35926 / 0 / 18355    | 5.95 / 2.04 / 2.11     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_Q_2-3_v-80-100_r-13.7                                     | MUS timed out                                       | 180 / 0 / 0         | 100 / 0 / 0         | 1300 / 0 / 0         | 0.38 / 0.27 / 0.07     | PreProc-ed 1 rounds           |                   |                    |                  |                | MUS TimedOut after 1 rounds    | 63.42 / 0.23 / 1300 / 0                                 | 1500.0     
QBFEval2017_query48_query42_1344n                                     | MUS timed out                                       | 9935 / 0 / 6038     | 9755 / 0 / 6038     | 53006 / 0 / 5814     | 12.26 / 2.59 / 6.27    | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_rankfunc58_unsigned_64                                    | MUS timed out                                       | 4116 / 0 / 2470     | 3604 / 0 / 2470     | 10763 / 0 / 5564     | 5.14 / 2.73 / 1.55     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_sortnetsort10.AE.stepl.008                                | MUS timed out                                       | 8181 / 0 / 2210     | 6669 / 0 / 2210     | 13668 / 0 / 2521     | 3.92 / 1.61 / 1.15     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2018_small-equiv-fixpoint-2                                    | MUS timed out                                       | 5023 / 0 / 3295     | 4927 / 0 / 3295     | 16527 / 0 / 7288     | 4.46 / 2.4 / 1.11      | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
QBFEval2017_stmt31_22_328                                             | MUS timed out                                       | 2937 / 4 / 1757     | 2693 / 4 / 1717     | 9739 / 16 / 4223     | 4.11 / 1.35 / 1.54     | PreProc-ed 2 rounds           |                   |                    |                  |                | MUS TimedOut after 0 rounds    |                                                         | 1500.0     
