All timings are in seconds.

nClauses      -> number of clauses in input cnf
nVars         -> number of variables in input cnf
parseTim      -> time taken to parse cnf
bddCreat      -> time taken to create bdds of clauses
mergeTim      -> time taken to merge factor and variable BDDs based on Largest Support Set input parameter
mergedFn      -> number of factors after merging
mergedVr      -> number of variables after merging
FG Creat      -> time taken to create Factor Graph from merged factors and variables
FG Iters      -> number of iterations to reach factor graph convergence
FG Conv       -> time taken to converge Factor Graph
CNF Creat     -> time taken to convert Factor Graph solution to CNF
nSoln         -> number of MUSes found by MUST that added a clause to final solution
nDisabledSets -> number of disabled sets in MUST problem space due to MUSes that satisfied Factor Graph
numMus        -> total number of MUSes found
exploreTime   -> time spent by mustool finding MUSes
mucProcTime   -> time spent processing MUSes
done          -> whether processing finished (Y) or timed out (<blank>)
case name     -> test case name


nClauses | nVars    | parseTim | bddCreat | mergeTim | mergedFn | mergedVr | FG Creat | FG Iters | FG Conv  | CNF Creat| nSoln    | nDisabledSets    | numMus   | exploreTime | mucProcTime | done | case name
   11892 |     3506 |     0.01 |     1.44 |    60.71 |      249 |      112 |     0.13 |        5 |     0.10 |     2.18 |          |                  |          |       0.000 |       0.000 |      | stmt19_3_401.qdimacs
   16527 |     5024 |     0.02 |     4.07 |   135.89 |      435 |      161 |     0.29 |        4 |     0.12 |     4.54 |          |                  |          |       0.000 |       0.000 |      | small-equiv-fixpoint-2.qdimacs
   21323 |     7927 |     0.03 |     8.19 |   323.31 |      725 |      247 |     1.02 |        6 |     0.18 |    11.27 |          |                  |          |       0.000 |       0.000 |      | ethernet-fixpoint-2.qdimacs
   15114 |     5280 |     0.02 |     3.45 |   126.21 |      512 |      170 |     0.30 |        4 |     0.11 |     4.87 |          |                  |          |       0.000 |       0.000 |      | rankfunc35_signed_64.qdimacs
   75246 |    25497 |     0.09 |   116.10 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | mult_bool_matrix_12_13_11.sat.qdimacs
   16977 |     5073 |     0.02 |     3.45 |   132.63 |      363 |      168 |     0.33 |        4 |     0.20 |     4.50 |          |                  |          |       0.000 |       0.000 |      | stmt53_296_346.qdimacs
   38914 |     7333 |     0.05 |     7.99 |   504.56 |     2225 |      238 |     1.34 |        4 |     0.90 |    10.13 |          |                  |          |       0.000 |       0.000 |      | query10_query34_1344n.qdimacs
     246 |      104 |     0.00 |     0.00 |     0.02 |       11 |        4 |     0.00 |        3 |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | small-bug1-fixpoint-6.qdimacs
    1895 |      867 |     0.00 |     0.05 |     2.92 |      119 |       29 |     0.02 |        4 |     0.03 |     0.13 |          |                  |          |       0.000 |       0.000 |    Y | query33_query45_1344n.qdimacs
    6905 |     2572 |     0.00 |     0.80 |    26.03 |      245 |       83 |     0.07 |        4 |     0.05 |     1.13 |          |                  |          |       0.000 |       0.000 |      | rankfunc2_unsigned_64.qdimacs
    9259 |     5525 |     0.01 |     4.27 |   114.22 |      533 |      179 |     0.37 |        4 |     0.41 |     5.76 |          |                  |          |       0.000 |       0.000 |      | sortnetsort8.AE.stepl.009.qdimacs
   19725 |     6436 |     0.02 |     5.10 |   220.91 |      556 |      209 |     0.46 |        5 |     0.26 |     7.02 |          |                  |          |       0.000 |       0.000 |      | cycle_sched_6_6_2.sat.qdimacs
    1987 |      730 |     0.00 |     0.04 |     2.25 |      113 |       24 |     0.02 |        6 |     0.03 |     0.17 |        1 |                  |        2 |     378.627 |       0.060 |      | query27_query42_1344n.qdimacs
    7800 |     2420 |     0.01 |     0.66 |    24.37 |      165 |       80 |     0.07 |        4 |     0.07 |     1.01 |          |                  |          |       0.000 |       0.000 |      | stmt19_133_217.qdimacs
    6743 |     4034 |     0.01 |     2.25 |    53.35 |      451 |      129 |     0.16 |        4 |     0.20 |     2.58 |          |                  |          |       0.000 |       0.000 |      | sortnetsort9.AE.stepl.005.qdimacs
    8936 |     2783 |     0.01 |     0.89 |    39.12 |      521 |       88 |     0.11 |        4 |     0.14 |     1.31 |          |                  |          |       0.000 |       0.000 |      | query60_query10_1344n.qdimacs
    2972 |     1042 |     0.00 |     0.07 |     4.43 |      100 |       35 |     0.02 |        4 |     0.03 |     0.28 |          |                  |          |       0.000 |       0.000 |      | sdlx-fixpoint-1.qdimacs
    8760 |     3338 |     0.01 |     1.35 |    46.64 |      348 |      106 |     0.12 |        5 |     0.08 |     2.09 |          |                  |          |       0.000 |       0.000 |      | ethernet-fixpoint-1.qdimacs
    3116 |     1136 |     0.00 |     0.06 |     3.77 |       95 |       35 |     0.01 |       73 |     0.05 |     0.21 |          |                  |          |       0.000 |       0.000 |      | floor128.qdimacs
   11250 |     3381 |     0.02 |     1.85 |    71.46 |      627 |      109 |     0.18 |        4 |     0.18 |     2.14 |          |                  |          |       0.000 |       0.000 |      | query06_query42_1344n.qdimacs
    9214 |     3247 |     0.01 |     1.39 |    52.44 |      313 |      106 |     0.12 |        4 |     0.09 |     1.88 |          |                  |          |       0.000 |       0.000 |      | ctrl.e#1.a#3.E#128.A#48.c#.w#3.s#26.asp.qdimacs
    1561 |      550 |     0.00 |     0.03 |     0.98 |       58 |       17 |     0.01 |        4 |     0.01 |     0.09 |          |                  |          |       0.000 |       0.000 |      | small-dyn-partition-fixpoint-5.qdimacs
  262154 |    83445 |     0.32 |  1484.25 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | ltl2dba_E6_comp2_REAL.sat.qdimacs
    1915 |      875 |     0.00 |     0.07 |     3.25 |      113 |       30 |     0.03 |        4 |     0.03 |     0.16 |          |                  |          |       0.000 |       0.000 |      | query34_query11_1344n.qdimacs
   17651 |     4841 |     0.02 |     3.26 |   130.79 |      562 |      157 |     0.29 |        5 |     0.29 |     3.89 |          |                  |          |       0.000 |       0.000 |      | ConcreteActivityService.qdimacs
    6782 |     4038 |     0.01 |     2.44 |    59.06 |      416 |      130 |     0.20 |        4 |     0.37 |     3.02 |        1 |                  |        2 |    3851.341 |       1.116 |      | sortnetsort7.AE.stepl.009.qdimacs
    7768 |     2580 |     0.01 |     0.84 |    36.78 |      455 |       87 |     0.10 |        4 |     0.10 |     1.26 |        1 |                  |        2 |       3.798 |       0.056 |      | query15_query42_1344n.qdimacs
   36512 |     9394 |     0.04 |    11.46 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | stmt23_67_92.qdimacs
    2897 |     1010 |     0.00 |     0.08 |     3.60 |      111 |       32 |     0.02 |        4 |     0.02 |     0.20 |          |                  |          |       0.000 |       0.000 |      | small-dyn-partition-fixpoint-9.qdimacs
   10952 |     3221 |     0.01 |     1.36 |    60.18 |      629 |      106 |     0.16 |        4 |     0.16 |     1.88 |        1 |                  |        2 |      27.856 |       0.136 |      | query07_query42_1344n.qdimacs
   34745 |     8959 |     0.04 |    11.42 |   465.65 |      717 |      281 |     1.11 |        4 |     0.22 |    14.01 |          |                  |          |       0.000 |       0.000 |      | stmt17_70_82.qdimacs
   15787 |     5675 |     0.02 |     3.83 |   192.65 |      466 |      186 |     0.32 |        4 |     0.14 |     5.26 |          |                  |          |       0.000 |       0.000 |      | driver_b8n.sat.qdimacs
    2703 |     1182 |     0.00 |     0.12 |     5.48 |      149 |       38 |     0.02 |        6 |     0.04 |     0.27 |          |                  |          |       0.000 |       0.000 |      | query36_query42_1344n.qdimacs
    5398 |     3231 |     0.01 |     1.40 |    33.34 |      336 |      104 |     0.12 |        4 |     0.31 |     1.68 |          |                  |          |       0.000 |       0.000 |      | sortnetsort9.AE.stepl.004.qdimacs
   11938 |     3549 |     0.01 |     1.57 |    61.96 |      260 |      115 |     0.15 |        4 |     0.11 |     2.25 |          |                  |          |       0.000 |       0.000 |      | stmt21_70_369.qdimacs
   19036 |     5626 |     0.02 |     4.47 |   175.80 |      428 |      180 |     0.38 |        4 |     0.16 |     5.43 |          |                  |          |       0.000 |       0.000 |      | stmt19_352_359.qdimacs
    2910 |      930 |     0.00 |     0.07 |     2.98 |       61 |       32 |     0.01 |        7 |     0.02 |     0.22 |          |                  |          |       0.000 |       0.000 |      | stmt25_597_598.qdimacs
   40180 |     5021 |     0.05 |     3.62 |   333.89 |     2217 |      165 |     0.74 |        4 |     0.92 |     5.31 |          |                  |          |       0.000 |       0.000 |      | query42_query45_1344n.qdimacs
  611497 |   218792 |     0.76 |     0.00 |     0.00 |          |          |     0.00 |          |     0.00 |     0.00 |          |                  |          |       0.000 |       0.000 |      | 6s289rb05233_c0to63.sat.qdimacs
   38279 |     9829 |     0.05 |    15.39 |   651.39 |      742 |      317 |     2.08 |        5 |     0.29 |    21.07 |          |                  |          |       0.000 |       0.000 |      | stmt19_79_83.qdimacs
   34731 |    17797 |     0.04 |     8.96 |   526.43 |     1584 |      387 |     1.98 |        4 |     0.24 |    68.19 |          |                  |          |       0.000 |       0.000 |      | neclaftp2002.qdimacs
    8411 |     3416 |     0.01 |     1.29 |    42.31 |      363 |      110 |     0.12 |        4 |     0.06 |     1.92 |          |                  |          |       0.000 |       0.000 |      | rankfunc53_unsigned_64.qdimacs
   15071 |     5272 |     0.02 |     3.22 |   116.76 |      514 |      170 |     0.32 |        4 |     0.11 |     4.78 |          |                  |          |       0.000 |       0.000 |      | rankfunc35_unsigned_64.qdimacs
   21838 |     7457 |     0.03 |     7.72 |   335.49 |      708 |      238 |     0.78 |        4 |     0.18 |     9.78 |          |                  |          |       0.000 |       0.000 |      | ctrl.e#1.a#3.E#130.A#48.c#.w#7.s#11.asp.qdimacs
