Test Case                                                                                   | Return Code | Input Clauses | Input Variables | Output Clauses | Timed Out
QBFEval2017_cycle_sched_6_6_2.sat_kissat_output.qdimacs                                     | 0           | 9058          | 6436            | 0              | Yes      
QBFEval2017_driver_a10y.sat_kissat_output.qdimacs                                           | 0           | 7318          | 5500            | 0              | Yes      
QBFEval2017_driver_b8n.sat_kissat_output.qdimacs                                            | 0           | 5651          | 5675            | 0              | Yes      
QBFEval2017_driver_c9n.sat_kissat_output.qdimacs                                            | 0           | 2565          | 2210            | 0              | Yes      
QBFEval2017_driver_c9y.sat_kissat_output.qdimacs                                            | 0           | 2576          | 1644            | 0              | Yes      
QBFEval2017_eequery_query42_1344n_kissat_output.qdimacs                                     | 0           | 1776          | 1026            | 0              | Yes      
QBFEval2017_eequery_query64_1344n_kissat_output.qdimacs                                     | 0           | 1586          | 971             | 0              | Yes      
QBFEval2017_eijkbs3330_kissat_output.qdimacs                                                | 0           | 3117          | 1298            | 0              | Yes      
QBFEval2017_ethernet-fixpoint-1_kissat_output.qdimacs                                       | 0           | 4267          | 3338            | 0              | Yes      
QBFEval2017_ethernet-fixpoint-2_kissat_output.qdimacs                                       | 0           | 9705          | 7927            | 0              | Yes      
QBFEval2017_ethernet-fixpoint-3_kissat_output.qdimacs                                       | 0           | 14997         | 12515           | 0              | Yes      
QBFEval2017_ethernet-fixpoint-4_kissat_output.qdimacs                                       | 0           | 20283         | 17103           | 0              | Yes      
QBFEval2017_exquery_query42_1344n_kissat_output.qdimacs                                     | 0           | 1304          | 618             | 0              | Yes      
QBFEval2017_falsequ_query42_1344n_kissat_output.qdimacs                                     | 0           | 956           | 319             | 0              | Yes      
QBFEval2017_genbuf12b4y.sat_kissat_output.qdimacs                                           | 0           | 23555         | 2939            | 0              | Yes      
QBFEval2017_genbuf14b4y.sat_kissat_output.qdimacs                                           | 0           | 24339         | 3097            | 0              | Yes      
QBFEval2017_genbuf7b4n.sat_kissat_output.qdimacs                                            | 0           | 9499          | 2143            | 0              | Yes      
QBFEval2017_genbuf8b4n.sat_kissat_output.qdimacs                                            | 0           | 17313         | 2739            | 0              | Yes      
QBFEval2017_intermediate256_kissat_output.qdimacs                                           | 0           | 6627          | 2559            | 0              | Yes      
QBFEval2017_itc-b13-fixpoint-10_kissat_output.qdimacs                                       | 0           | 4837          | 12967           | 0              | Yes      
QBFEval2017_itc-b13-fixpoint-2_kissat_output.qdimacs                                        | 0           | 514           | 2159            | 0              | Yes      
QBFEval2017_itc-b13-fixpoint-3_kissat_output.qdimacs                                        | 0           | 1098          | 3510            | 0              | Yes      
QBFEval2017_itc-b13-fixpoint-4_kissat_output.qdimacs                                        | 0           | 1690          | 4861            | 0              | Yes      
QBFEval2017_itc-b13-fixpoint-6_kissat_output.qdimacs                                        | 0           | 2681          | 7563            | 0              | Yes      
QBFEval2017_itc-b13-fixpoint-7_kissat_output.qdimacs                                        | 0           | 3185          | 8914            | 0              | Yes      
QBFEval2017_itc-b13-fixpoint-8_kissat_output.qdimacs                                        | 0           | 3916          | 10265           | 0              | Yes      
QBFEval2017_itc-b13-fixpoint-9_kissat_output.qdimacs                                        | 0           | 4612          | 11616           | 0              | Yes      
QBFEval2017_load_2c_comp_comp7_REAL.sat_kissat_output.qdimacs                               | 0           | 17571         | 12305           | 0              | Yes      
QBFEval2017_load_3c_comp_comp6_REAL.sat_kissat_output.qdimacs                               | 0           | 38670         | 20155           | 0              | Yes      
QBFEval2017_load_4c_comp_comp4_REAL.sat_kissat_output.qdimacs                               | 0           | 103354        | 31481           | 0              | Yes      
QBFEval2017_load_full_3_comp5_REAL.sat_kissat_output.qdimacs                                | 0           | 80015         | 30111           | 0              | Yes      
QBFEval2017_ltl2dba_C2-8_comp4_REAL.sat_kissat_output.qdimacs                               | 0           | 6534          | 4715            | 0              | Yes      
QBFEval2017_ltl2dba_E6_comp2_REAL.sat_kissat_output.qdimacs                                 | 0           | 167419        | 83445           | 0              | Yes      
QBFEval2017_ltl2dba_Q4_comp4_REAL.sat_kissat_output.qdimacs                                 | 0           | 83840         | 35339           | 0              | Yes      
