Name                                                                  | Status                                             | T / B / K Vars      | T / B / K QVars     | T / B / K Clauses    | T / B / K Time          | PreProc Status                | Bdd Creation Time | Merge F / V / Time | FG creation time | FG convergence | MUS Status | MUS ExplrTime / ProcTime / NumClauses / NumDisabledSets | FG-MUS time
QBFEval2017_query51_query42_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 1034 / 0 / 695      | 960 / 0 / 695       | 2435 / 0 / 655       | 2.07 / 1.26 / 0.49      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2018_stmt19_313_412                                            | Preproc finished unsolved, FG skipped, MUS skipped | 5487 / 4 / 3681     | 5207 / 4 / 3641     | 18545 / 16 / 9831    | 10.31 / 4.64 / 3.01     | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.4        
Disjunctive_Decomposition_eijkbs3330_all_bit_differing_from_cycle     | Preproc finished unsolved, FG skipped, MUS skipped | 1043 / 0 / 295      | 797 / 0 / 295       | 3578 / 0 / 461       | 3.25 / 1.77 / 0.91      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2018_rankfunc49_signed_64                                      | Preproc finished unsolved, FG skipped, MUS skipped | 3154 / 0 / 1862     | 2770 / 0 / 1862     | 8460 / 0 / 4791      | 2.67 / 1.53 / 0.75      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2017_rankfunc56_signed_64                                      | Preproc finished unsolved, FG skipped, MUS skipped | 1808 / 0 / 1045     | 1552 / 0 / 1045     | 4630 / 0 / 2653      | 1.95 / 1.12 / 0.39      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2018_query33_query42_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 1190 / 0 / 799      | 1116 / 0 / 799      | 2717 / 0 / 761       | 2.18 / 0.98 / 0.69      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2017_itc-b13-fixpoint-9                                        | Preproc finished unsolved, FG skipped, MUS skipped | 11615 / 206 / 10319 | 11065 / 206 / 10301 | 33474 / 430 / 28432  | 12.42 / 3.91 / 4.73     | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.17       
QBFEval2017_sdlx-fixpoint-5                                           | Preproc finished unsolved, FG skipped, MUS skipped | 8462 / 0 / 6799     | 8051 / 0 / 6799     | 25141 / 0 / 14810    | 10.95 / 2.35 / 4.71     | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.17       
QBFEval2018_UserServiceImpl                                           | Preproc finished unsolved, FG skipped, MUS skipped | 4040 / 0 / 2831     | 3953 / 0 / 2831     | 14575 / 0 / 7723     | 7.16 / 3.18 / 2.39      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2017_amba2c7n.sat                                              | Preproc finished unsolved, FG skipped, MUS skipped | 1381 / 0 / 777      | 1345 / 0 / 777      | 6475 / 0 / 1944      | 3.42 / 1.78 / 0.93      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
Disjunctive_Decomposition_bobsmhdlc1_all_bit_differing_from_cycle     | Preproc finished unsolved, FG skipped, MUS skipped | 747 / 0 / 252       | 565 / 0 / 252       | 2446 / 0 / 423       | 2.28 / 1.16 / 0.63      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
Disjunctive_Decomposition_bobtuint20neg_all_bit_differing_from_cycle  | Preproc Solved, FG skipped.                        | 1415 / 0 / 1415     | 1203 / 0 / 1203     | 4588 / 0 / 4587      | 0.25 / 0.0 / 0.18       | PreProc-ed 1 rounds           |                   |                    |                  |                |            |                                                         |            
QBFEval2017_itc-b13-fixpoint-6                                        | Preproc finished unsolved, FG skipped, MUS skipped | 7562 / 142 / 6746   | 7180 / 142 / 6731   | 21744 / 296 / 18767  | 7.65 / 2.09 / 3.13      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.12       
QBFEval2018_stmt47_290_340                                            | Preproc finished unsolved, FG skipped, MUS skipped | 5011 / 4 / 3453     | 4762 / 4 / 3418     | 16711 / 16 / 9206    | 12.54 / 3.64 / 4.52     | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.12       
QBFEval2018_cache-coherence-2-fixpoint-2                              | Preproc finished unsolved, FG skipped, MUS skipped | 3685 / 16 / 2448    | 3271 / 16 / 2448    | 10648 / 36 / 5756    | 6.37 / 2.29 / 2.05      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2017_stmt53_296_346                                            | Preproc finished unsolved, FG skipped, MUS skipped | 5073 / 4 / 3486     | 4823 / 4 / 3451     | 16977 / 16 / 9340    | 10.32 / 3.33 / 3.55     | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.12       
QBFEval2017_rankfunc56_unsigned_64                                    | Preproc finished unsolved, FG skipped, MUS skipped | 1806 / 0 / 1047     | 1550 / 0 / 1047     | 4623 / 0 / 2714      | 2.32 / 1.15 / 0.7       | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2018_query33_query57_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 1157 / 0 / 743      | 1087 / 0 / 743      | 2673 / 0 / 744       | 2.54 / 0.93 / 1.02      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.07       
QBFEval2017_bs128n.sat                                                | Preproc finished unsolved, FG skipped, MUS skipped | 6938 / 0 / 5381     | 6801 / 0 / 5381     | 20267 / 0 / 10548    | 6.48 / 1.86 / 2.23      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.12       
QBFEval2017_small-equiv-fixpoint-4                                    | Preproc finished unsolved, FG skipped, MUS skipped | 9053 / 0 / 5913     | 8893 / 0 / 5913     | 29811 / 0 / 13062    | 9.1 / 2.92 / 3.2        | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2018_ethernet-fixpoint-2                                       | Preproc finished unsolved, FG skipped, MUS skipped | 7914 / 10 / 5585    | 7219 / 10 / 5585    | 21323 / 20 / 11598   | 8.13 / 1.9 / 3.38       | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.11       
QBFEval2018_stmt21_181_369                                            | Preproc finished unsolved, FG skipped, MUS skipped | 4106 / 6 / 2708     | 3846 / 6 / 2669     | 13751 / 24 / 7176    | 7.98 / 2.92 / 2.81      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2017_rankfunc61_signed_64                                      | Preproc finished unsolved, FG skipped, MUS skipped | 4304 / 0 / 2498     | 3920 / 0 / 2498     | 12162 / 0 / 5389     | 6.14 / 3.44 / 1.46      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.11       
Arithmetic_equalization64                                             | Preproc Solved, FG skipped.                        | 906 / 0 / 906       | 778 / 0 / 778       | 2793 / 0 / 2792      | 0.22 / 0.0 / 0.15       | PreProc-ed 1 rounds           |                   |                    |                  |                |            |                                                         |            
QBFEval2017_mult_bool_matrix_12_13_11.sat                             | Preproc finished unsolved, FG skipped, MUS skipped | 25497 / 0 / 23485   | 25217 / 0 / 23485   | 75246 / 0 / 62548    | 11.86 / 3.43 / 4.74     | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.37       
QBFEval2018_stmt5_731_730                                             | Preproc finished unsolved, FG skipped, MUS skipped | 690 / 32 / 595      | 626 / 18 / 570      | 2269 / 36 / 1975     | 1.5 / 0.44 / 0.78       | PreProc-ed 3 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2018_sdlx-fixpoint-10                                          | Preproc finished unsolved, FG skipped, MUS skipped | 17737 / 0 / 14254   | 16956 / 0 / 14254   | 52856 / 0 / 30872    | 21.19 / 4.89 / 7.88     | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.22       
QBFEval2017_mult_bool_matrix_dyn_7_7.sat                              | Preproc finished unsolved, FG skipped, MUS skipped | 5649 / 0 / 5046     | 5577 / 0 / 5046     | 16676 / 0 / 13376    | 4.53 / 2.37 / 1.26      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.11       
Disjunctive_Decomposition_bobtuint05neg_all_bit_differing_from_cycle  | Preproc Solved, FG skipped.                        | 1415 / 0 / 1415     | 1203 / 0 / 1203     | 4588 / 0 / 4587      | 0.28 / 0.0 / 0.18       | PreProc-ed 1 rounds           |                   |                    |                  |                |            |                                                         |            
QBFEval2017_query09_query42_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 9829 / 0 / 5990     | 9649 / 0 / 5990     | 52774 / 0 / 5766     | 11.73 / 2.34 / 5.46     | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.17       
QBFEval2018_IterationService                                          | Preproc finished unsolved, FG skipped, MUS skipped | 4169 / 0 / 2861     | 4099 / 0 / 2861     | 15082 / 0 / 7707     | 6.2 / 2.95 / 1.84       | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.12       
QBFEval2018_stmt44_40_387                                             | Preproc finished unsolved, FG skipped, MUS skipped | 3326 / 4 / 1898     | 3057 / 4 / 1854     | 11260 / 16 / 4483    | 7.17 / 3.14 / 2.21      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
QBFEval2017_LoginService                                              | Preproc finished unsolved, FG skipped, MUS skipped | 5285 / 0 / 3238     | 5193 / 0 / 3238     | 21660 / 0 / 8388     | 11.23 / 3.39 / 3.91     | PreProc-ed 3 rounds           |                   |                    |                  |                |            |                                                         | 0.12       
QBFEval2018_query10_query45_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 4589 / 0 / 2463     | 4421 / 0 / 2463     | 31298 / 0 / 2451     | 12.83 / 5.39 / 4.35     | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.11       
Disjunctive_Decomposition_bobtuint26neg_all_bit_differing_from_cycle  | Preproc Solved, FG skipped.                        | 1415 / 0 / 1415     | 1203 / 0 / 1203     | 4588 / 0 / 4587      | 0.25 / 0.0 / 0.18       | PreProc-ed 1 rounds           |                   |                    |                  |                |            |                                                         |            
QBFEval2017_rankfunc38_signed_64                                      | Preproc Solved, FG skipped.                        | 647 / 0 / 647       | 519 / 0 / 519       | 1613 / 0 / 1612      | 1.35 / 0.0 / 0.9        | PreProc-ed 1 rounds           |                   |                    |                  |                |            |                                                         |            
QBFEval2018_query21_query58_1344n                                     | Preproc finished unsolved, FG skipped, MUS skipped | 3226 / 0 / 1787     | 3074 / 0 / 1787     | 9867 / 0 / 1762      | 6.49 / 3.85 / 1.31      | PreProc-ed 2 rounds           |                   |                    |                  |                |            |                                                         | 0.06       
