sno  clip   time         num            file
     depth  taken        soln           name
            (sec)             
---  ---    ---          ---            ---
336  1600   NA           NA             6s514r_bdd.blif
337  10     0.0253812    3.22445e+265   6s515rb1_bdd.blif
338  20     0.049608     3.22445e+265   6s515rb1_bdd.blif
339  30     0.0714419    3.22445e+265   6s515rb1_bdd.blif
340  40     0.0908682    3.22445e+265   6s515rb1_bdd.blif
341  50     4.76836      3.22445e+265   6s515rb1_bdd.blif
342  75     NA           NA             6s515rb1_bdd.blif
343  100    NA           NA             6s515rb1_bdd.blif
344  200    NA           NA             6s515rb1_bdd.blif
345  300    NA           NA             6s515rb1_bdd.blif
346  400    NA           NA             6s515rb1_bdd.blif
347  800    NA           NA             6s515rb1_bdd.blif
348  1600   NA           NA             6s515rb1_bdd.blif
349  10     NA           NA             6s516r_bdd.blif
350  20     NA           NA             6s516r_bdd.blif
351  30     NA           NA             6s516r_bdd.blif
352  40     NA           NA             6s516r_bdd.blif
353  50     NA           NA             6s516r_bdd.blif
354  75     NA           NA             6s516r_bdd.blif
355  100    NA           NA             6s516r_bdd.blif
356  200    NA           NA             6s516r_bdd.blif
357  300    NA           NA             6s516r_bdd.blif
358  400    NA           NA             6s516r_bdd.blif
359  800    NA           NA             6s516r_bdd.blif
360  1600   NA           NA             6s516r_bdd.blif
